"TOA5","HIAL","CR1000","E11642","CR1000.Std.31.03","CPU:HIAL_TM_1.4.CR1","62362","Table60Min"
"TIMESTAMP","RECORD","BP_mbar"
"TS","RN","mbar"
"","","Smp"
"2020-09-04 18:00:00",0,678.6915
"2020-09-04 19:00:00",1,679.1783
"2020-09-04 20:00:00",2,679.4218
"2020-09-04 21:00:00",3,679.7464
"2020-09-04 22:00:00",4,679.7464
"2020-09-04 23:00:00",5,679.5841
"2020-09-05 00:00:00",6,679.7464
"2020-09-05 01:00:00",7,679.5841
"2020-09-05 02:00:00",8,679.5841
"2020-09-05 03:00:00",9,679.5841
"2020-09-05 04:00:00",10,679.6653
"2020-09-05 05:00:00",11,679.9087
"2020-09-05 06:00:00",12,680.2333
"2020-09-05 07:00:00",13,680.5604
"2020-09-05 08:00:00",14,680.8826
"2020-09-05 09:00:00",15,681.126
"2020-09-05 10:00:00",16,680.8014
"2020-09-05 11:00:00",17,680.071
"2020-09-05 12:00:00",18,679.2596
"2020-09-05 13:00:00",19,678.2858
"2020-09-05 14:00:00",20,677.3931
"2020-09-05 15:00:00",21,676.6628
"2020-09-05 16:00:00",22,675.8513
"2020-09-05 17:00:00",23,675.5267
"2020-09-05 18:00:00",24,675.4456
"2020-09-05 19:00:00",25,676.0135
"2020-09-05 20:00:00",26,676.5817
"2020-09-05 21:00:00",27,676.8251
"2020-09-05 22:00:00",28,677.312
"2020-09-05 23:00:00",29,677.4742
"2020-09-06 00:00:00",30,677.9612
"2020-09-06 01:00:00",31,677.9612
"2020-09-06 02:00:00",32,677.9612
"2020-09-06 03:00:00",33,677.9612
"2020-09-06 04:00:00",34,677.9612
"2020-09-06 05:00:00",35,678.1244
"2020-09-06 06:00:00",36,678.5302
"2020-09-06 07:00:00",37,678.7738
"2020-09-06 08:00:00",38,678.9349
"2020-09-06 09:00:00",39,678.8538
"2020-09-06 10:00:00",40,678.6915
"2020-09-06 11:00:00",41,678.1235
"2020-09-06 12:00:00",42,677.1497
"2020-09-06 13:00:00",43,676.257
"2020-09-06 14:00:00",44,675.121
"2020-09-06 15:00:00",45,674.3906
"2020-09-06 16:00:00",46,673.9849
"2020-09-06 17:00:00",47,674.7152
"2020-09-06 18:00:00",48,674.8775
"2020-09-06 19:00:00",49,675.689
"2020-09-06 20:00:00",50,676.5005
"2020-09-06 21:00:00",51,676.8251
"2020-09-06 22:00:00",52,676.6628
"2020-09-06 23:00:00",53,676.7439
"2020-09-07 00:00:00",54,676.9874
"2020-09-07 01:00:00",55,677.2314
"2020-09-07 02:00:00",56,677.312
"2020-09-07 03:00:00",57,677.3963
"2020-09-07 04:00:00",58,677.4818
"2020-09-07 05:00:00",59,677.7213
"2020-09-07 06:00:00",60,677.968
"2020-09-07 07:00:00",61,678.301
"2020-09-07 08:00:00",62,678.6111
"2020-09-07 09:00:00",63,678.5292
"2020-09-07 10:00:00",64,678.4481
"2020-09-07 11:00:00",65,677.9612
"2020-09-07 12:00:00",66,677.1497
"2020-09-07 13:00:00",67,676.1759
"2020-09-07 14:00:00",68,675.4456
"2020-09-07 15:00:00",69,675.3644
"2020-09-07 16:00:00",70,675.2021
"2020-09-07 17:00:00",71,675.8513
"2020-09-07 18:00:00",72,676.1759
"2020-09-07 19:00:00",73,676.8251
"2020-09-07 20:00:00",74,677.6366
"2020-09-07 21:00:00",75,678.2858
"2020-09-07 22:00:00",76,678.7753
"2020-09-07 23:00:00",77,679.1016
"2020-09-08 00:00:00",78,679.6006
"2020-09-08 01:00:00",79,679.7654
"2020-09-08 02:00:00",80,679.8579
"2020-09-08 03:00:00",81,680.0195
"2020-09-08 04:00:00",82,680.183
"2020-09-08 05:00:00",83,680.4259
"2020-09-08 06:00:00",84,680.832
"2020-09-08 07:00:00",85,681.3151
"2020-09-08 08:00:00",86,681.8563
"2020-09-08 09:00:00",87,682.0187
"2020-09-08 10:00:00",88,681.8563
"2020-09-08 11:00:00",89,681.2072
"2020-09-08 12:00:00",90,680.4768
"2020-09-08 13:00:00",91,679.5031
"2020-09-08 14:00:00",92,678.6104
"2020-09-08 15:00:00",93,677.7177
"2020-09-08 16:00:00",94,676.9874
"2020-09-08 17:00:00",95,676.7439
"2020-09-08 18:00:00",96,676.8251
"2020-09-08 19:00:00",97,677.3931
"2020-09-08 20:00:00",98,678.4481
"2020-09-08 21:00:00",99,679.0973
"2020-09-08 22:00:00",100,679.0973
"2020-09-08 23:00:00",101,679.0973
"2020-09-09 00:00:00",102,679.3409
"2020-09-09 01:00:00",103,679.588
"2020-09-09 02:00:00",104,679.6744
"2020-09-09 03:00:00",105,680.0068
"2020-09-09 04:00:00",106,680.3449
"2020-09-09 05:00:00",107,680.5072
"2020-09-09 06:00:00",108,681.0754
"2020-09-09 07:00:00",109,681.5545
