Datetime,Water_Temp
2020-10-15 15:30,20.63
2020-10-16 14:15,12.64
2020-10-16 14:30,14.49
2020-10-16 15:00,12.3
2020-10-16 15:30,12.72
2020-10-16 16:00,12.54
2020-10-16 16:30,11.77
2020-10-16 17:00,10.09
2020-10-16 17:30,9.38
2020-10-16 18:00,9.12
2020-10-16 18:30,8.97
2020-10-16 19:00,8.7
2020-10-16 19:30,8.27
2020-10-16 20:00,7.98
2020-10-16 20:30,8.22
2020-10-16 21:00,7.58
2020-10-16 21:30,7.34
2020-10-16 22:00,4.19
2020-10-16 22:30,4.8
2020-10-16 23:00,2.18
2020-10-16 23:30,3.55
2020-10-17 00:00,1.05
2020-10-17 00:30,1.94
2020-10-17 01:00,0.53
2020-10-17 01:30,0.14
2020-10-17 02:00,-0.8
2020-10-17 02:30,-0.2
2020-10-17 03:00,-0.16
2020-10-17 03:30,-1.57
2020-10-17 04:00,-1.1
2020-10-17 04:30,-2.22
2020-10-17 05:00,-2.3
2020-10-17 05:30,-2.78
2020-10-17 06:00,-3.47
2020-10-17 06:30,-3.41
2020-10-17 07:00,-3.28
2020-10-17 07:30,6.85
2020-10-17 08:00,4.29
2020-10-17 08:30,8.42
2020-10-17 09:00,6.92
2020-10-17 09:30,5.13
2020-10-17 10:00,8.52
2020-10-17 10:30,9.19
2020-10-17 11:00,8.07
2020-10-17 11:30,11.84
2020-10-17 12:00,10.63
2020-10-17 12:30,13.78
2020-10-17 13:00,12.32
2020-10-17 13:30,14.97
2020-10-17 14:00,13.67
2020-10-17 14:30,12.83
2020-10-17 15:00,12.44
2020-10-17 15:30,12.28
2020-10-17 16:00,12.37
2020-10-17 16:30,11.67
2020-10-17 17:00,9.97
2020-10-17 17:30,9.35
2020-10-17 18:00,8.91
2020-10-17 18:30,8.57
2020-10-17 19:00,8.32
2020-10-17 19:30,8.48
2020-10-17 20:00,8.34
2020-10-17 20:30,7.88
2020-10-17 21:00,7.98
2020-10-17 21:30,7.0
2020-10-17 22:00,7.53
2020-10-17 22:30,6.53
2020-10-17 23:00,6.28
2020-10-17 23:30,2.98
2020-10-18 00:00,2.57
2020-10-18 00:30,1.0
2020-10-18 01:00,2.9
2020-10-18 01:30,-0.53
2020-10-18 02:00,0.34
2020-10-18 02:30,0.28
2020-10-18 03:00,-0.81
2020-10-18 03:30,-1.91
2020-10-18 04:00,-2.09
2020-10-18 04:30,-1.46
2020-10-18 05:00,-1.97
2020-10-18 05:30,-2.32
2020-10-18 06:00,-2.16
2020-10-18 06:30,-4.3
2020-10-18 07:00,-4.73
2020-10-18 07:30,4.84
2020-10-18 08:00,4.22
2020-10-18 08:30,4.27
2020-10-18 09:00,7.55
2020-10-18 09:30,3.89
2020-10-18 10:00,6.99
2020-10-18 10:30,8.3
2020-10-18 11:00,8.47
2020-10-18 11:30,10.94
2020-10-18 12:00,12.68
2020-10-18 12:30,10.38
2020-10-18 13:00,13.12
2020-10-18 13:30,11.43
2020-10-18 14:00,12.63
2020-10-18 14:30,14.4
2020-10-18 15:00,12.47
2020-10-18 15:30,11.57
2020-10-18 16:00,11.47
2020-10-18 16:30,11.28
2020-10-18 17:00,9.53
2020-10-18 17:30,9.17
2020-10-18 18:00,8.35
2020-10-18 18:30,8.1
2020-10-18 19:00,7.8
2020-10-18 19:30,7.54
2020-10-18 20:00,7.18
2020-10-18 20:30,6.78
2020-10-18 21:00,6.59
2020-10-18 21:30,6.33
2020-10-18 22:00,5.72
2020-10-18 22:30,5.74
2020-10-18 23:00,5.75
2020-10-18 23:30,5.14
2020-10-19 00:00,5.25
2020-10-19 00:30,4.18
2020-10-19 01:00,4.79
2020-10-19 01:30,1.03
2020-10-19 02:00,0.19
2020-10-19 02:30,0.15
2020-10-19 03:00,-1.13
2020-10-19 03:30,-0.34
2020-10-19 04:00,-2.0
2020-10-19 04:30,-1.26
2020-10-19 05:00,-2.93
2020-10-19 05:30,-2.16
2020-10-19 06:00,-3.18
2020-10-19 06:30,-3.11
2020-10-19 07:00,-3.16
2020-10-19 07:30,5.05
2020-10-19 08:00,6.57
2020-10-19 08:30,4.45
2020-10-19 09:00,4.18
2020-10-19 09:30,7.31
2020-10-19 10:00,5.43
2020-10-19 10:30,9.4
2020-10-19 11:00,9.34
2020-10-19 11:30,12.83
2020-10-19 12:00,11.93
2020-10-19 12:30,11.97
2020-10-19 13:00,11.13
2020-10-19 13:30,12.34
2020-10-19 14:00,14.58
2020-10-19 14:30,15.34
2020-10-19 15:00,14.54
2020-10-19 15:30,10.89
2020-10-19 16:00,10.68
2020-10-19 16:30,10.13
2020-10-19 17:00,8.09
2020-10-19 17:30,7.09
2020-10-19 18:00,7.05
2020-10-19 18:30,5.68
2020-10-19 19:00,5.59
2020-10-19 19:30,5.66
2020-10-19 20:00,2.73
2020-10-19 20:30,3.41
2020-10-19 21:00,2.8
2020-10-19 21:30,3.28
2020-10-19 22:00,2.78
2020-10-19 22:30,1.58
2020-10-19 23:00,0.77
2020-10-19 23:30,0.85
2020-10-20 00:00,-1.21
2020-10-20 00:30,-2.15
2020-10-20 01:00,-0.65
2020-10-20 01:30,-1.22
2020-10-20 02:00,-3.32
2020-10-20 02:30,-3.36
2020-10-20 03:00,-3.18
2020-10-20 03:30,-3.75
2020-10-20 04:00,-3.55
2020-10-20 04:30,-3.37
2020-10-20 05:00,-4.67
2020-10-20 05:30,-5.43
2020-10-20 06:00,-6.11
2020-10-20 06:30,-5.07
2020-10-20 07:00,-5.16
2020-10-20 07:30,1.73
2020-10-20 08:00,4.84
2020-10-20 08:30,3.14
2020-10-20 09:00,2.94
2020-10-20 09:30,7.04
2020-10-20 10:00,5.55
2020-10-20 10:30,6.29
2020-10-20 11:00,7.53
2020-10-20 11:30,9.88
2020-10-20 12:00,11.39
2020-10-20 12:30,10.0
2020-10-20 13:00,14.02
2020-10-20 13:30,14.23
2020-10-20 14:00,10.8
2020-10-20 14:30,14.44
2020-10-20 15:00,11.24
2020-10-20 15:30,11.27
2020-10-20 16:00,11.03
2020-10-20 16:30,10.23
2020-10-20 17:00,8.54
2020-10-20 17:30,7.93
2020-10-20 18:00,7.41
2020-10-20 18:30,7.33
2020-10-20 19:00,6.79
2020-10-20 19:30,6.6
2020-10-20 20:00,6.87
2020-10-20 20:30,6.15
2020-10-20 21:00,6.43
2020-10-20 21:30,2.74
2020-10-20 22:00,2.9
2020-10-20 22:30,2.44
2020-10-20 23:00,3.16
2020-10-20 23:30,0.62
2020-10-21 00:00,1.1
2020-10-21 00:30,-0.8
2020-10-21 01:00,0.34
2020-10-21 01:30,-0.47
2020-10-21 02:00,-0.45
2020-10-21 02:30,-0.31
2020-10-21 03:00,-1.42
2020-10-21 03:30,-2.83
2020-10-21 04:00,-2.73
2020-10-21 04:30,-2.53
2020-10-21 05:00,-2.72
2020-10-21 05:30,-4.16
2020-10-21 06:00,-4.43
2020-10-21 06:30,-4.66
2020-10-21 07:00,-4.25
2020-10-21 07:30,3.14
2020-10-21 08:00,4.91
2020-10-21 08:30,3.9
2020-10-21 09:00,4.58
2020-10-21 09:30,4.1
2020-10-21 10:00,5.53
2020-10-21 10:30,7.69
2020-10-21 11:00,7.72
2020-10-21 11:30,10.19
2020-10-21 12:00,12.74
2020-10-21 12:30,9.67
2020-10-21 13:00,10.77
2020-10-21 13:30,15.74
2020-10-21 14:00,12.27
2020-10-21 14:30,12.08
2020-10-21 15:00,10.22
2020-10-21 15:30,10.82
2020-10-21 16:00,11.28
2020-10-21 16:30,12.39
2020-10-21 17:00,7.72
2020-10-21 17:30,7.22
2020-10-21 18:00,6.78
2020-10-21 18:30,6.47
2020-10-21 19:00,6.27
2020-10-21 19:30,6.08
2020-10-21 20:00,5.91
2020-10-21 20:30,5.45
2020-10-21 21:00,5.09
2020-10-21 21:30,5.12
2020-10-21 22:00,4.78
2020-10-21 22:30,4.38
2020-10-21 23:00,4.29
2020-10-21 23:30,3.89
2020-10-22 00:00,3.45
2020-10-22 00:30,2.73
2020-10-22 01:00,3.19
2020-10-22 01:30,2.95
2020-10-22 02:00,2.59
2020-10-22 02:30,2.69
2020-10-22 03:00,2.04
2020-10-22 03:30,1.77
2020-10-22 04:00,1.59
2020-10-22 04:30,1.34
2020-10-22 05:00,-0.95
2020-10-22 05:30,-2.53
2020-10-22 06:00,-2.81
2020-10-22 06:30,-3.18
2020-10-22 07:00,-2.91
2020-10-22 07:30,-0.72
2020-10-22 08:00,1.08
2020-10-22 08:30,6.72
2020-10-22 09:00,3.09
2020-10-22 09:30,3.57
2020-10-22 10:00,6.95
2020-10-22 10:30,4.48
2020-10-22 11:00,8.2
2020-10-22 11:30,5.68
2020-10-22 12:00,8.1
2020-10-22 12:30,6.54
2020-10-22 13:00,8.45
2020-10-22 13:30,7.13
2020-10-22 14:00,7.68
2020-10-22 14:30,7.7
2020-10-22 15:30,7.2
2020-10-22 16:00,6.59
2020-10-22 16:30,7.16
2020-10-22 17:00,5.55
2020-10-22 17:30,5.13
2020-10-22 18:00,4.53
2020-10-22 18:30,4.7
2020-10-22 19:00,4.41
2020-10-22 19:30,4.28
2020-10-22 20:00,4.37
2020-10-22 20:30,3.72
2020-10-22 21:00,3.93
2020-10-22 21:30,4.04
2020-10-22 22:00,0.58
2020-10-22 22:30,-0.16
2020-10-22 23:00,-0.34
2020-10-22 23:30,-0.67
2020-10-23 00:00,-1.55
2020-10-23 00:30,-1.4
2020-10-23 01:00,-1.91
2020-10-23 01:30,-2.55
2020-10-23 02:00,-2.48
