"TOA5","HIAL","CR1000","E11642","CR1000.Std.31.03","CPU:HIAL_TM_1.4.CR1","62362","Table24hr"
"TIMESTAMP","RECORD","BattV_Min","AirTC_Min","AirTC_Max","WS_ms_Max"
"TS","RN","Volts","Deg C","Deg C","meters/second"
"","","Min","Min","Max","Max"
"2020-09-05 00:00:00",0,13.06,20.88,23.45,0
"2020-09-06 00:00:00",1,13.03,19.83,25,0
"2020-09-07 00:00:00",2,13.06,19.08,24.91,0.003
"2020-09-08 00:00:00",3,13.06,18.17,24.17,0
"2020-09-09 00:00:00",4,13.05,17.42,23.41,0
"2020-09-10 00:00:00",5,13.04,17.18,23.51,0
"2020-09-11 00:00:00",6,13.03,17.58,23.67,0.003
"2020-09-12 00:00:00",7,13.02,18.04,23.77,0
"2020-09-13 00:00:00",8,13.01,17.37,23.65,0
"2020-09-14 00:00:00",9,13,17.27,23.95,0
"2020-09-15 00:00:00",10,13,17.1,24.26,0.003
"2020-09-16 00:00:00",11,12.98,17.27,23.47,0.003
"2020-09-17 00:00:00",12,12.98,16.39,23.15,0
"2020-09-18 00:00:00",13,12.98,16.82,22.91,0
"2020-09-19 00:00:00",14,12.97,16.5,22.91,0
"2020-09-20 00:00:00",15,12.96,15.62,22.14,0
"2020-09-21 00:00:00",16,12.96,15.5,21.46,0
"2020-09-22 00:00:00",17,12.95,14.45,21.81,0
"2020-09-23 00:00:00",18,12.95,14.75,22.17,0
"2020-09-24 00:00:00",19,12.95,16.3,22.09,0
"2020-09-25 00:00:00",20,12.95,16,21.71,0
"2020-09-26 00:00:00",21,12.95,15.86,21.31,0
"2020-09-27 00:00:00",22,12.94,9.99,20.37,16.72
"2020-09-28 00:00:00",23,12.88,6.793,15.76,14.77
"2020-09-29 00:00:00",24,12.85,4.683,17.39,11.56
"2020-09-30 00:00:00",25,12.87,6.147,19.16,12.99
"2020-10-01 00:00:00",26,12.86,5.845,19.77,11.26
"2020-10-02 00:00:00",27,12.87,5.784,19.63,11.22
"2020-10-03 00:00:00",28,12.86,6.047,19.44,11.59
"2020-10-04 00:00:00",29,12.84,4.876,19.57,11.63
"2020-10-05 00:00:00",30,12.86,5.481,19.14,11.1
"2020-10-06 00:00:00",31,12.86,6.552,17.26,11.97
"2020-10-07 00:00:00",32,12.82,4.714,20.69,11.2
"2020-10-08 00:00:00",33,12.86,6.43,17.5,13.34
"2020-10-09 00:00:00",34,12.86,4.228,17.49,12
"2020-10-10 00:00:00",35,12.85,4.481,17.45,11.69
"2020-10-11 00:00:00",36,12.84,4.269,17.09,12.28
"2020-10-12 00:00:00",37,12.82,3.744,19.04,11.77
"2020-10-13 00:00:00",38,12.82,4.068,19.54,9.72
"2020-10-14 00:00:00",39,12.85,4.855,18.51,13.81
"2020-10-15 00:00:00",40,12.83,4.997,17.47,12.2
"2020-10-16 00:00:00",41,12.83,3.188,17.55,11.32
"2020-10-17 00:00:00",42,12.81,2.552,18.27,10.46
"2020-10-18 00:00:00",43,12.8,2.168,17.69,11.76
"2020-10-19 00:00:00",44,12.8,0.832,17.82,10.47
"2020-10-20 00:00:00",45,12.8,2.43,17.11,6.145
"2020-10-21 00:00:00",46,12.78,0.124,16.84,8.97
"2020-10-22 00:00:00",47,12.8,1.338,16.4,11.93
"2020-10-23 00:00:00",48,12.85,2.905,12.86,11.36
"2020-10-24 00:00:00",49,12.79,-0.28,11.7,14.01
"2020-10-25 00:00:00",50,12.82,1.065,12.93,10.63
"2020-10-26 00:00:00",51,12.82,1.379,11.94,12.47
"2020-10-27 00:00:00",52,12.81,-0.887,9.25,9.73
"2020-10-28 00:00:00",53,12.76,-2,11.61,4.547
"2020-10-29 00:00:00",54,12.77,-1.697,13.51,9.11
"2020-10-30 00:00:00",55,12.84,0.427,12.06,9.76
"2020-10-31 00:00:00",56,12.8,-0.705,10.02,11.76
"2020-11-01 00:00:00",57,12.81,0.427,10.1,8.34
"2020-11-02 00:00:00",58,12.78,-1.555,10.77,9.29
"2020-11-03 00:00:00",59,12.8,-0.958,10.07,7.213
"2020-11-04 00:00:00",60,12.78,-1.596,8.84,10.69
"2020-11-05 00:00:00",61,12.78,-2.649,7.54,8.71
