Datetime,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Temp,Humidity,Pressure
20-11-27 Nov:11,0.0,0.447,0.894,8.89,16.0,644.3
20-11-27 09:45,315.0,0.894,1.788,7.78,16.0,644.4
20-11-27 09:50,315.0,0.894,1.788,7.78,16.0,644.4
20-11-27 09:55,0.0,0.894,1.788,8.33,16.0,644.4
20-11-27 10:00,315.0,0.894,1.788,7.78,16.0,644.4
20-11-27 10:10,315.0,0.894,1.788,8.89,15.0,644.5
20-11-27 10:15,0.0,0.894,2.235,5.0,18.0,644.6
20-11-27 10:20,315.0,0.894,1.788,7.78,16.0,644.5
20-11-27 10:25,0.0,0.894,2.235,6.11,17.0,644.5
20-11-27 10:30,0.0,0.894,2.235,7.78,16.0,644.5
20-11-27 10:35,0.0,1.788,3.129,5.0,20.0,644.5
20-11-27 10:40,45.0,0.447,2.235,5.0,19.0,644.5
20-11-27 10:45,315.0,0.894,2.235,6.67,18.0,644.3
20-11-27 10:50,0.0,0.0,1.788,2.78,21.0,644.4
20-11-27 10:55,0.0,0.894,2.235,0.0,25.0,644.4
20-11-27 11:00,0.0,2.235,3.576,-0.56,27.0,644.3
20-11-27 11:05,0.0,2.235,3.576,0.56,25.0,644.2
20-11-27 11:10,0.0,1.341,3.576,2.22,26.0,644.2
20-11-27 11:15,0.0,1.341,3.576,9.44,22.0,644.1
20-11-27 11:20,0.0,2.235,4.023,15.0,20.0,644.1
20-11-27 11:25,0.0,2.235,3.576,17.78,19.0,644.1
20-11-27 11:30,45.0,2.235,4.47,20.56,18.0,644.1
20-11-27 11:35,0.0,1.341,4.023,23.33,18.0,643.9
20-11-27 11:40,0.0,1.341,3.129,26.11,17.0,643.9
20-11-27 11:45,45.0,2.235,4.47,27.78,17.0,643.9
20-11-27 11:50,0.0,0.894,3.576,27.78,17.0,643.9
20-11-27 11:55,315.0,0.894,3.576,28.89,17.0,643.8
20-11-27 12:00,0.0,2.235,3.576,29.44,17.0,643.6
20-11-27 12:05,45.0,0.894,4.917,30.0,17.0,643.5
20-11-27 12:10,0.0,2.235,4.917,30.0,17.0,643.6
20-11-27 12:15,0.0,0.894,3.576,30.56,17.0,643.4
20-11-27 12:20,45.0,2.235,4.917,32.22,17.0,643.3
20-11-27 12:25,45.0,3.129,4.023,32.22,17.0,643.4
20-11-27 12:30,45.0,0.894,4.023,31.67,17.0,643.3
20-11-27 12:35,45.0,1.341,4.023,32.22,17.0,643.3
20-11-27 12:40,45.0,1.788,6.259,32.22,17.0,643.3
20-11-27 12:45,0.0,1.788,3.576,32.78,17.0,643.2
