Datetime,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Temp,Humidity,Pressure
20-11-22 Nov:11,0.0,0.894,2.235,0.56,18.0,631.8
20-11-22 Nov:11,0.0,0.447,1.788,0.56,18.0,631.7
20-11-22 Nov:11,0.0,0.894,0.894,1.11,17.0,631.9
20-11-22 Nov:11,0.0,0.894,1.341,1.11,16.0,631.9
20-11-22 Nov:11,0.0,0.0,1.341,1.11,16.0,631.9
20-11-22 Nov:11,0.0,0.447,0.894,1.11,16.0,632.0
20-11-22 Nov:11,0.0,0.447,0.894,1.11,16.0,632.0
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,631.9
20-11-22 Nov:11,0.0,0.0,0.447,1.67,15.0,632.0
20-11-22 Nov:11,0.0,0.447,0.894,1.67,15.0,632.1
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,632.2
20-11-22 Nov:11,0.0,0.447,0.894,1.67,15.0,632.3
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,632.2
20-11-22 Nov:11,0.0,0.0,0.894,2.22,15.0,632.3
20-11-22 Nov:11,0.0,0.0,0.447,1.67,15.0,632.3
20-11-22 Nov:11,0.0,0.0,0.447,2.22,15.0,632.3
20-11-22 Nov:11,0.0,0.0,0.447,1.67,14.0,632.4
20-11-22 Nov:11,0.0,0.0,1.788,1.67,15.0,632.4
20-11-22 Nov:11,45.0,0.447,0.894,1.67,15.0,632.5
20-11-22 Nov:11,45.0,0.447,0.894,1.67,15.0,632.5
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,632.6
20-11-22 Nov:11,45.0,0.894,1.788,1.11,15.0,632.7
20-11-22 Nov:11,45.0,0.0,0.0,1.67,15.0,632.6
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,632.7
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,632.7
20-11-22 Nov:11,45.0,0.0,0.447,1.67,15.0,632.7
20-11-22 Nov:11,180.0,0.0,0.894,1.67,15.0,632.8
20-11-22 Nov:11,180.0,0.0,0.894,1.67,15.0,632.8
20-11-22 Nov:11,180.0,0.0,0.447,1.67,15.0,632.8
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,632.9
20-11-22 Nov:11,45.0,0.0,0.447,1.67,15.0,632.9
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,632.9
20-11-22 Nov:11,45.0,0.0,0.447,1.67,15.0,633.0
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,633.0
20-11-22 Nov:11,45.0,0.0,0.894,1.67,15.0,633.1
20-11-22 Nov:11,45.0,0.0,0.447,1.67,15.0,633.1
20-11-22 Nov:11,45.0,0.447,0.894,1.67,15.0,633.0
20-11-22 Nov:11,0.0,0.447,0.894,1.67,16.0,633.1
20-11-22 Nov:11,0.0,0.0,0.894,1.67,16.0,633.0
20-11-22 Nov:11,0.0,0.0,0.447,1.67,15.0,633.1
20-11-22 Nov:11,315.0,0.0,0.0,1.67,15.0,633.1
20-11-22 Nov:11,315.0,0.0,0.447,1.67,15.0,633.1
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,633.1
20-11-22 Nov:11,45.0,0.0,0.447,1.67,15.0,633.1
20-11-22 Nov:11,0.0,0.0,0.894,1.67,15.0,633.1
20-11-22 Nov:11,45.0,0.447,0.894,1.67,15.0,633.1
20-11-22 Nov:11,0.0,0.0,1.341,1.67,16.0,633.1
20-11-22 Nov:11,0.0,0.447,0.894,1.11,16.0,633.0
20-11-22 Nov:11,0.0,0.0,0.894,1.11,16.0,633.0
20-11-22 Nov:11,315.0,0.447,1.341,1.11,16.0,632.9
20-11-22 Nov:11,180.0,1.788,2.682,1.67,17.0,633.0
20-11-22 Nov:11,225.0,1.341,3.129,1.11,19.0,633.0
20-11-22 Nov:11,225.0,2.235,4.023,1.11,21.0,633.0
20-11-22 Nov:11,225.0,2.235,3.576,1.11,22.0,633.0
20-11-22 Nov:11,225.0,2.235,4.023,1.11,22.0,632.9
20-11-22 Nov:11,225.0,2.682,4.47,0.56,23.0,632.8
