Datetime,air_temp,RH
2020-11-21 11:20,1.1,26.62
2020-11-21 11:22,2.29,25.47
2020-11-21 11:24,3.32,24.48
2020-11-21 11:26,4.17,22.97
2020-11-21 11:28,4.84,22.59
2020-11-21 11:30,5.34,29.53
2020-11-21 11:32,5.63,22.54
2020-11-21 11:34,5.71,21.84
2020-11-21 11:36,5.76,21.45
2020-11-21 11:38,5.82,21.29
2020-11-21 11:40,5.87,21.28
2020-11-21 11:42,5.93,21.16
2020-11-21 11:44,5.96,21.0
2020-11-21 11:46,6.01,20.86
2020-11-21 11:48,6.05,20.76
2020-11-21 11:50,6.07,20.93
2020-11-21 11:52,6.13,20.88
2020-11-21 11:54,6.15,20.81
2020-11-21 11:56,6.16,20.76
2020-11-21 11:58,6.17,20.68
2020-11-21 12:00,6.19,20.51
2020-11-21 12:02,6.22,20.52
2020-11-21 12:04,6.23,20.65
2020-11-21 12:06,6.28,20.78
2020-11-21 12:08,6.26,20.72
2020-11-21 12:10,6.36,20.83
2020-11-21 12:12,6.34,20.66
2020-11-21 12:14,6.39,20.63
2020-11-21 12:16,6.4,20.39
2020-11-21 12:18,6.45,20.11
2020-11-21 12:20,6.43,19.95
2020-11-21 12:22,6.48,19.78
2020-11-21 12:24,6.48,19.64
2020-11-21 12:26,6.5,19.59
2020-11-21 12:28,6.48,19.53
2020-11-21 12:30,6.5,19.56
2020-11-21 12:32,6.54,19.58
2020-11-21 12:34,6.54,19.55
2020-11-21 12:36,6.57,19.64
2020-11-21 12:38,6.59,19.62
2020-11-21 12:40,6.64,19.47
2020-11-21 12:42,6.65,19.3
2020-11-21 12:44,6.65,19.03
2020-11-21 12:46,6.68,18.92
2020-11-21 12:48,6.67,19.0
2020-11-21 12:50,6.67,19.13
2020-11-21 12:52,6.7,18.96
2020-11-21 12:54,6.7,18.97
2020-11-21 12:56,6.72,18.85
2020-11-21 12:58,6.74,18.77
2020-11-21 13:00,6.74,18.67
2020-11-21 13:02,6.75,18.5
2020-11-21 13:04,6.74,18.39
2020-11-21 13:06,6.74,18.39
2020-11-21 13:08,6.74,18.18
2020-11-21 13:10,6.73,17.96
2020-11-21 13:12,6.71,18.02
2020-11-21 13:14,6.71,17.99
2020-11-21 13:16,6.72,18.2
2020-11-21 13:18,6.73,18.32
2020-11-21 13:20,6.72,18.29
2020-11-21 13:22,6.72,18.39
2020-11-21 13:24,6.76,18.42
2020-11-21 13:26,6.79,18.49
2020-11-21 13:28,6.81,18.28
2020-11-21 13:30,6.83,18.26
2020-11-21 13:32,6.81,18.22
2020-11-21 13:34,6.83,18.28
2020-11-21 13:36,6.85,18.38
2020-11-21 13:38,6.83,18.39
2020-11-21 13:40,6.89,18.39
2020-11-21 13:42,6.86,18.1
2020-11-21 13:44,6.88,18.19
2020-11-21 13:46,6.89,18.32
2020-11-21 13:48,6.93,18.37
2020-11-21 13:50,6.91,18.35
2020-11-21 13:52,6.94,18.12
2020-11-21 13:54,6.94,18.08
2020-11-21 13:56,6.95,18.05
2020-11-21 13:58,6.96,17.96
2020-11-21 14:00,6.93,17.91
2020-11-21 14:02,6.93,17.75
2020-11-21 14:04,6.89,17.68
2020-11-21 14:06,6.9,17.84
2020-11-21 14:08,6.9,17.73
2020-11-21 14:10,6.9,17.86
2020-11-21 14:12,6.88,17.96
2020-11-21 14:14,6.91,17.78
2020-11-21 14:16,6.89,17.64
2020-11-21 14:18,6.9,17.79
2020-11-21 14:20,6.91,17.59
2020-11-21 14:22,6.89,17.52
2020-11-21 14:24,6.88,17.67
2020-11-21 14:26,6.89,17.64
2020-11-21 14:28,6.91,17.59
2020-11-21 14:30,6.87,17.46
2020-11-21 14:32,6.89,17.61
2020-11-21 14:34,6.9,17.53
2020-11-21 14:36,6.89,17.49
2020-11-21 14:38,6.87,17.25
2020-11-21 14:40,6.87,17.24
2020-11-21 14:42,6.84,17.43
2020-11-21 14:44,6.85,17.4
2020-11-21 14:46,6.87,17.67
